#uuid,ord_in_thread,author,published,title,language,crawled,site_url,country,domain_rank,thread_title,spam_score,main_img_url,replies_count,participants_count,likes,comments,shares,type
6a175f46bcd24d39b3e962ad0f29936721db70db,0,Barracuda Brigade,2016-10-26T21:41:00.000+03:00,Muslims BUSTED: They Stole Millions In Gov t Benefits,english,2016-10-27T01:49:27.168+03:00,100percentfedup.com,US,25689,Muslims BUSTED: They Stole Millions In Gov t Benefits,0,http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10262016-83501-AM.bmp.jpg,0,1,0,0,0,bias
2bdc29d12605ef9cf3f09f9875040a7113be5d5b,0,reasoning with facts,2016-10-29T08:47:11.259+03:00,Re: Why Did Attorney General Loretta Lynch Plead The Fifth?,english,2016-10-29T08:47:11.259+03:00,100percentfedup.com,US,25689,Re: Why Did Attorney General Loretta Lynch Plead The Fifth?,0,http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10282016-102616-PM.bmp.jpg,0,1,0,0,0,bias
c70e149fdd53de5e61c29281100b9de0ed268bc3,0,Barracuda Brigade,2016-10-31T01:41:49.479+02:00,BREAKING: Weiner Cooperating With FBI On Hillary Email Investigation,english,2016-10-31T01:41:49.479+02:00,100percentfedup.com,US,25689,BREAKING: Weiner Cooperating With FBI On Hillary Email Investigation,0,http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10302016-60437-PM.bmp.jpg,0,1,0,0,0,bias
7cf7c15731ac2a116dd7f629bd57ea468ed70284,0,Fed Up,2016-11-01T05:22:00.000+02:00,"PIN DROP SPEECH BY FATHER OF DAUGHTER Kidnapped And Killed By ISIS: ""I have voted for Donald J. Trump!""   100percentfedUp.com",english,2016-11-01T15:46:26.304+02:00,100percentfedup.com,US,25689,"PIN DROP SPEECH BY FATHER OF DAUGHTER Kidnapped And Killed By ISIS: ""I have voted for Donald J. Trump!""   100percentfedUp.com",0.068,http://100percentfedup.com/wp-content/uploads/2016/10/kayla.jpg,0,0,0,0,0,bias
0206b54719c7e241ffe0ad4315b808290dbe6c0f,0,Fed Up,2016-11-01T21:56:00.000+02:00,FANTASTIC! TRUMP'S 7 POINT PLAN To Reform Healthcare Begins With A Bombshell!   100percentfedUp.com,english,2016-11-01T23:59:42.266+02:00,100percentfedup.com,US,25689,FANTASTIC! TRUMP'S 7 POINT PLAN To Reform Healthcare Begins With A Bombshell!   100percentfedUp.com,0.865,http://100percentfedup.com/wp-content/uploads/2016/11/obamacare-sites-404-970x0.jpg,0,0,0,0,0,bias
8f30f5ea14c9d5914a9fe4f55ab2581772af4c31,0,Barracuda Brigade,2016-11-02T16:31:28.550+02:00,Hillary Goes Absolutely Berserk On Protester At Rally! (Video),english,2016-11-02T16:31:28.550+02:00,100percentfedup.com,US,25689,Hillary Goes Absolutely Berserk On Protester At Rally! (Video),0,http://bb4sp.com/wp-content/uploads/2016/11/Fullscreen-capture-1122016-74311-AM.bmp.jpg,0,1,0,0,0,bias
d3cc0fe38f41a59f7c48f8c3528ca5f74193148f,0,Fed Up,2016-11-04T19:40:00.000+02:00,"BREAKING! NYPD Ready To Make Arrests In Weiner Case Hillary Visited Pedophile Island At Least 6 Times Money Laundering, Underage Sex, Pay-for-Play,Proof of Inappropriate Handling Classified Information   100percentfedUp.com",english,2016-11-05T02:13:46.065+02:00,100percentfedup.com,US,25689,"BREAKING! NYPD Ready To Make Arrests In Weiner Case Hillary Visited Pedophile Island At Least 6 Times Money Laundering, Underage Sex, Pay-for-Play,Proof of Inappropriate Handling Classified Information   100percentfedUp.com",0.701,http://100percentfedup.com/wp-content/uploads/2016/11/hillary-looking-down.jpg,0,0,0,0,0,bias
b4bbf8b5c19e8864f5257832a58b81ef4ed2d4e4,0,Fed Up,2016-11-05T01:19:00.000+02:00,WOW! WHISTLEBLOWER TELLS CHILLING STORY Of Massive Voter Fraud: Trump Campaign Readies Lawsuit Against FL Sec Of Elections In Critical District [VIDEO]   100percentfedUp.com,english,2016-11-05T05:59:07.458+02:00,100percentfedup.com,US,25689,WOW! WHISTLEBLOWER TELLS CHILLING STORY Of Massive Voter Fraud: Trump Campaign Readies Lawsuit Against FL Sec Of Elections In Critical District [VIDEO]   100percentfedUp.com,0.188,http://100percentfedup.com/wp-content/uploads/2016/11/snipes-dem.jpg,0,0,0,0,0,bias
a19aabaa5a61eb8bc22fadaaa003e5fbba5c4bf6,0,Fed Up,2016-11-06T23:54:00.000+02:00,BREAKING: CLINTON CLEARED...Was This A Coordinated Last Minute Trick To Energize Hillary's Base?   100percentfedUp.com,english,2016-11-07T10:20:06.409+02:00,100percentfedup.com,US,25689,BREAKING: CLINTON CLEARED...Was This A Coordinated Last Minute Trick To Energize Hillary's Base?   100percentfedUp.com,0.144,http://100percentfedup.com/wp-content/uploads/2016/05/hillary-comey.jpg,0,0,0,0,0,bias
f54d8e13010d0a79893995ee65360ad4b38b5a35,0,Fed Up,2016-11-07T02:43:00.000+02:00,"EVIL HILLARY SUPPORTERS Yell ""F*ck Trump"" Burn Truck Of Daddy Fishing With 2 Yr Son Over Of Trump Bumper-Stickers [VIDEO]   100percentfedUp.com",english,2016-11-07T10:20:27.252+02:00,100percentfedup.com,US,25689,"EVIL HILLARY SUPPORTERS Yell ""F*ck Trump"" Burn Truck Of Daddy Fishing With 2 Yr Son Over Of Trump Bumper-Stickers [VIDEO]   100percentfedUp.com",0.995,http://100percentfedup.com/wp-content/uploads/2016/11/TRUCK-TORCHED-HILLARY.jpg,0,0,0,0,0,bias
4d3faf17519cfa46ca754ab8068428818dbb2bf3,0,EdJenner,2016-11-07T22:34:36.822+02:00,YIKES! HILLARY GOES OFF THE RAILS Pulls A Howard Dean [Video],english,2016-11-07T22:34:36.822+02:00,100percentfedup.com,US,25689,YIKES! HILLARY GOES OFF THE RAILS Pulls A Howard Dean [Video],0,http://conservativeangle.com/wp-content/uploads/2016/11/2521919-thumb.jpg,0,1,0,0,0,bias
7f90d71cc69893f4c91e8a55f2c4da52d88cd7c1,0,Fed Up,2016-11-09T17:28:00.000+02:00,SAY GOODBYE! These 23 Hollywood Celebs Threatened To Leave The U.S....Let's Hold Them To It!   100percentfedUp.com,english,2016-11-09T17:37:41.165+02:00,100percentfedup.com,US,25689,SAY GOODBYE! These 23 Hollywood Celebs Threatened To Leave The U.S....Let's Hold Them To It!   100percentfedUp.com,0.998,http://100percentfedup.com/wp-content/uploads/2016/11/moving.jpg,0,0,0,0,0,bias
